id,shoe_type,lighting,location,motion,weather,mood
scn_111,sneaker,ánh vàng xiên,studio phản sáng,crane xuống,sương nhẹ,lãng mạn
scn_112,runner,ánh vàng xiên,studio phản sáng,crane xuống,gió nhẹ,năng động
scn_113,leather,ánh vàng xiên,studio phản sáng,crane xuống,gió nhẹ,mạnh mẽ
scn_114,casual,ánh vàng xiên,studio phản sáng,crane xuống,gió nhẹ,lãng mạn
scn_115,sandals,ánh vàng xiên,studio phản sáng,crane xuống,nắng dịu,năng động
scn_116,sneaker,ánh vàng xiên,studio phản sáng,crane xuống,nắng dịu,mạnh mẽ
scn_117,runner,ánh vàng xiên,studio phản sáng,crane xuống,nắng dịu,lãng mạn
scn_118,leather,ánh vàng xiên,studio phản sáng,pan ngang,sương nhẹ,năng động
scn_119,casual,ánh vàng xiên,studio phản sáng,pan ngang,sương nhẹ,mạnh mẽ
scn_120,sandals,ánh vàng xiên,studio phản sáng,pan ngang,sương nhẹ,lãng mạn
scn_121,sneaker,ánh vàng xiên,studio phản sáng,pan ngang,gió nhẹ,năng động
scn_122,runner,ánh vàng xiên,studio phản sáng,pan ngang,gió nhẹ,mạnh mẽ
scn_123,leather,ánh vàng xiên,studio phản sáng,pan ngang,gió nhẹ,lãng mạn
scn_124,casual,ánh vàng xiên,studio phản sáng,pan ngang,nắng dịu,năng động
scn_125,sandals,ánh vàng xiên,studio phản sáng,pan ngang,nắng dịu,mạnh mẽ
scn_126,sneaker,ánh vàng xiên,studio phản sáng,pan ngang,nắng dịu,lãng mạn
scn_127,runner,ánh vàng xiên,studio phản sáng,wide dolly,sương nhẹ,năng động
scn_128,leather,ánh vàng xiên,studio phản sáng,wide dolly,sương nhẹ,mạnh mẽ
scn_129,casual,ánh vàng xiên,studio phản sáng,wide dolly,sương nhẹ,lãng mạn
scn_130,sandals,ánh vàng xiên,studio phản sáng,wide dolly,gió nhẹ,năng động
scn_131,sneaker,ánh vàng xiên,studio phản sáng,wide dolly,gió nhẹ,mạnh mẽ
scn_132,runner,ánh vàng xiên,studio phản sáng,wide dolly,gió nhẹ,lãng mạn
scn_133,leather,ánh vàng xiên,studio phản sáng,wide dolly,nắng dịu,năng động
scn_134,casual,ánh vàng xiên,studio phản sáng,wide dolly,nắng dịu,mạnh mẽ
scn_135,sandals,ánh vàng xiên,studio phản sáng,wide dolly,nắng dịu,lãng mạn
scn_136,sneaker,ánh vàng xiên,công viên chiều,orbit chậm,sương nhẹ,năng động
scn_137,runner,ánh vàng xiên,công viên chiều,orbit chậm,sương nhẹ,mạnh mẽ
scn_138,leather,ánh vàng xiên,công viên chiều,orbit chậm,sương nhẹ,lãng mạn
scn_139,casual,ánh vàng xiên,công viên chiều,orbit chậm,gió nhẹ,năng động
scn_140,sandals,ánh vàng xiên,công viên chiều,orbit chậm,gió nhẹ,mạnh mẽ
scn_141,sneaker,ánh vàng xiên,công viên chiều,orbit chậm,gió nhẹ,lãng mạn
scn_142,runner,ánh vàng xiên,công viên chiều,orbit chậm,nắng dịu,năng động
scn_143,leather,ánh vàng xiên,công viên chiều,orbit chậm,nắng dịu,mạnh mẽ
scn_144,casual,ánh vàng xiên,công viên chiều,orbit chậm,nắng dịu,lãng mạn
scn_145,sandals,ánh vàng xiên,công viên chiều,tracking nhanh,sương nhẹ,năng động
scn_146,sneaker,ánh vàng xiên,công viên chiều,tracking nhanh,sương nhẹ,mạnh mẽ
scn_147,runner,ánh vàng xiên,công viên chiều,tracking nhanh,sương nhẹ,lãng mạn
scn_148,leather,ánh vàng xiên,công viên chiều,tracking nhanh,gió nhẹ,năng động
scn_149,casual,ánh vàng xiên,công viên chiều,tracking nhanh,gió nhẹ,mạnh mẽ
scn_150,sandals,ánh vàng xiên,công viên chiều,tracking nhanh,gió nhẹ,lãng mạn
scn_151,sneaker,ánh vàng xiên,công viên chiều,tracking nhanh,nắng dịu,năng động
scn_152,runner,ánh vàng xiên,công viên chiều,tracking nhanh,nắng dịu,mạnh mẽ
scn_153,leather,ánh vàng xiên,công viên chiều,tracking nhanh,nắng dịu,lãng mạn
scn_154,casual,ánh vàng xiên,công viên chiều,crane xuống,sương nhẹ,năng động
scn_155,sandals,ánh vàng xiên,công viên chiều,crane xuống,sương nhẹ,mạnh mẽ
scn_156,sneaker,ánh vàng xiên,công viên chiều,crane xuống,sương nhẹ,lãng mạn
scn_157,runner,ánh vàng xiên,công viên chiều,crane xuống,gió nhẹ,năng động
scn_158,leather,ánh vàng xiên,công viên chiều,crane xuống,gió nhẹ,mạnh mẽ
scn_159,casual,ánh vàng xiên,công viên chiều,crane xuống,gió nhẹ,lãng mạn
scn_160,sandals,ánh vàng xiên,công viên chiều,crane xuống,nắng dịu,năng động
scn_161,sneaker,ánh vàng xiên,công viên chiều,crane xuống,nắng dịu,mạnh mẽ
scn_162,runner,ánh vàng xiên,công viên chiều,crane xuống,nắng dịu,lãng mạn
scn_163,leather,ánh vàng xiên,công viên chiều,pan ngang,sương nhẹ,năng động
scn_164,casual,ánh vàng xiên,công viên chiều,pan ngang,sương nhẹ,mạnh mẽ
scn_165,sandals,ánh vàng xiên,công viên chiều,pan ngang,sương nhẹ,lãng mạn
scn_166,sneaker,ánh vàng xiên,công viên chiều,pan ngang,gió nhẹ,năng động
scn_167,runner,ánh vàng xiên,công viên chiều,pan ngang,gió nhẹ,mạnh mẽ
scn_168,leather,ánh vàng xiên,công viên chiều,pan ngang,gió nhẹ,lãng mạn
scn_169,casual,ánh vàng xiên,công viên chiều,pan ngang,nắng dịu,năng động
scn_170,sandals,ánh vàng xiên,công viên chiều,pan ngang,nắng dịu,mạnh mẽ
scn_171,sneaker,ánh vàng xiên,công viên chiều,pan ngang,nắng dịu,lãng mạn
scn_172,runner,ánh vàng xiên,công viên chiều,wide dolly,sương nhẹ,năng động
scn_173,leather,ánh vàng xiên,công viên chiều,wide dolly,sương nhẹ,mạnh mẽ
scn_174,casual,ánh vàng xiên,công viên chiều,wide dolly,sương nhẹ,lãng mạn
scn_175,sandals,ánh vàng xiên,công viên chiều,wide dolly,gió nhẹ,năng động
scn_176,sneaker,ánh vàng xiên,công viên chiều,wide dolly,gió nhẹ,mạnh mẽ
scn_177,runner,ánh vàng xiên,công viên chiều,wide dolly,gió nhẹ,lãng mạn
scn_178,leather,ánh vàng xiên,công viên chiều,wide dolly,nắng dịu,năng động
scn_179,casual,ánh vàng xiên,công viên chiều,wide dolly,nắng dịu,mạnh mẽ
scn_180,sandals,ánh vàng xiên,công viên chiều,wide dolly,nắng dịu,lãng mạn
scn_181,sneaker,ánh vàng xiên,bãi biển chiều,orbit chậm,sương nhẹ,năng động
scn_182,runner,ánh vàng xiên,bãi biển chiều,orbit chậm,sương nhẹ,mạnh mẽ
scn_183,leather,ánh vàng xiên,bãi biển chiều,orbit chậm,sương nhẹ,lãng mạn
scn_184,casual,ánh vàng xiên,bãi biển chiều,orbit chậm,gió nhẹ,năng động
scn_185,sandals,ánh vàng xiên,bãi biển chiều,orbit chậm,gió nhẹ,mạnh mẽ
scn_186,sneaker,ánh vàng xiên,bãi biển chiều,orbit chậm,gió nhẹ,lãng mạn
scn_187,runner,ánh vàng xiên,bãi biển chiều,orbit chậm,nắng dịu,năng động
scn_188,leather,ánh vàng xiên,bãi biển chiều,orbit chậm,nắng dịu,mạnh mẽ
scn_189,casual,ánh vàng xiên,bãi biển chiều,orbit chậm,nắng dịu,lãng mạn
scn_190,sandals,ánh vàng xiên,bãi biển chiều,tracking nhanh,sương nhẹ,năng động
scn_191,sneaker,ánh vàng xiên,bãi biển chiều,tracking nhanh,sương nhẹ,mạnh mẽ
scn_192,runner,ánh vàng xiên,bãi biển chiều,tracking nhanh,sương nhẹ,lãng mạn
scn_193,leather,ánh vàng xiên,bãi biển chiều,tracking nhanh,gió nhẹ,năng động
scn_194,casual,ánh vàng xiên,bãi biển chiều,tracking nhanh,gió nhẹ,mạnh mẽ
scn_195,sandals,ánh vàng xiên,bãi biển chiều,tracking nhanh,gió nhẹ,lãng mạn
scn_196,sneaker,ánh vàng xiên,bãi biển chiều,tracking nhanh,nắng dịu,năng động
scn_197,runner,ánh vàng xiên,bãi biển chiều,tracking nhanh,nắng dịu,mạnh mẽ
scn_198,leather,ánh vàng xiên,bãi biển chiều,tracking nhanh,nắng dịu,lãng mạn
scn_199,casual,ánh vàng xiên,bãi biển chiều,crane xuống,sương nhẹ,năng động
scn_200,sandals,ánh vàng xiên,bãi biển chiều,crane xuống,sương nhẹ,mạnh mẽ
scn_201,sneaker,ánh vàng xiên,bãi biển chiều,crane xuống,sương nhẹ,lãng mạn
scn_202,runner,ánh vàng xiên,bãi biển chiều,crane xuống,gió nhẹ,năng động
scn_203,leather,ánh vàng xiên,bãi biển chiều,crane xuống,gió nhẹ,mạnh mẽ
scn_204,casual,ánh vàng xiên,bãi biển chiều,crane xuống,gió nhẹ,lãng mạn
scn_205,sandals,ánh vàng xiên,bãi biển chiều,crane xuống,nắng dịu,năng động
scn_206,sneaker,ánh vàng xiên,bãi biển chiều,crane xuống,nắng dịu,mạnh mẽ
scn_207,runner,ánh vàng xiên,bãi biển chiều,crane xuống,nắng dịu,lãng mạn
scn_208,leather,ánh vàng xiên,bãi biển chiều,pan ngang,sương nhẹ,năng động
scn_209,casual,ánh vàng xiên,bãi biển chiều,pan ngang,sương nhẹ,mạnh mẽ
scn_210,sandals,ánh vàng xiên,bãi biển chiều,pan ngang,sương nhẹ,lãng mạn
scn_211,sneaker,ánh vàng xiên,bãi biển chiều,pan ngang,gió nhẹ,năng động
scn_212,runner,ánh vàng xiên,bãi biển chiều,pan ngang,gió nhẹ,mạnh mẽ
scn_213,leather,ánh vàng xiên,bãi biển chiều,pan ngang,gió nhẹ,lãng mạn
scn_214,casual,ánh vàng xiên,bãi biển chiều,pan ngang,nắng dịu,năng động
scn_215,sandals,ánh vàng xiên,bãi biển chiều,pan ngang,nắng dịu,mạnh mẽ
scn_216,sneaker,ánh vàng xiên,bãi biển chiều,pan ngang,nắng dịu,lãng mạn
scn_217,runner,ánh vàng xiên,bãi biển chiều,wide dolly,sương nhẹ,năng động
scn_218,leather,ánh vàng xiên,bãi biển chiều,wide dolly,sương nhẹ,mạnh mẽ
scn_219,casual,ánh vàng xiên,bãi biển chiều,wide dolly,sương nhẹ,lãng mạn
scn_220,sandals,ánh vàng xiên,bãi biển chiều,wide dolly,gió nhẹ,năng động
scn_221,sneaker,ánh vàng xiên,bãi biển chiều,wide dolly,gió nhẹ,mạnh mẽ
scn_222,runner,ánh vàng xiên,bãi biển chiều,wide dolly,gió nhẹ,lãng mạn
scn_223,leather,ánh vàng xiên,bãi biển chiều,wide dolly,nắng dịu,năng động
scn_224,casual,ánh vàng xiên,bãi biển chiều,wide dolly,nắng dịu,mạnh mẽ
scn_225,sandals,ánh vàng xiên,bãi biển chiều,wide dolly,nắng dịu,lãng mạn
scn_226,sneaker,ánh vàng xiên,phố đi bộ,orbit chậm,sương nhẹ,năng động
scn_227,runner,ánh vàng xiên,phố đi bộ,orbit chậm,sương nhẹ,mạnh mẽ
scn_228,leather,ánh vàng xiên,phố đi bộ,orbit chậm,sương nhẹ,lãng mạn
scn_229,casual,ánh vàng xiên,phố đi bộ,orbit chậm,gió nhẹ,năng động
scn_230,sandals,ánh vàng xiên,phố đi bộ,orbit chậm,gió nhẹ,mạnh mẽ
scn_231,sneaker,ánh vàng xiên,phố đi bộ,orbit chậm,gió nhẹ,lãng mạn
scn_232,runner,ánh vàng xiên,phố đi bộ,orbit chậm,nắng dịu,năng động
scn_233,leather,ánh vàng xiên,phố đi bộ,orbit chậm,nắng dịu,mạnh mẽ
scn_234,casual,ánh vàng xiên,phố đi bộ,orbit chậm,nắng dịu,lãng mạn
scn_235,sandals,ánh vàng xiên,phố đi bộ,tracking nhanh,sương nhẹ,năng động
scn_236,sneaker,ánh vàng xiên,phố đi bộ,tracking nhanh,sương nhẹ,mạnh mẽ
scn_237,runner,ánh vàng xiên,phố đi bộ,tracking nhanh,sương nhẹ,lãng mạn
scn_238,leather,ánh vàng xiên,phố đi bộ,tracking nhanh,gió nhẹ,năng động
scn_239,casual,ánh vàng xiên,phố đi bộ,tracking nhanh,gió nhẹ,mạnh mẽ
scn_240,sandals,ánh vàng xiên,phố đi bộ,tracking nhanh,gió nhẹ,lãng mạn
scn_241,sneaker,ánh vàng xiên,phố đi bộ,tracking nhanh,nắng dịu,năng động
scn_242,runner,ánh vàng xiên,phố đi bộ,tracking nhanh,nắng dịu,mạnh mẽ
scn_243,leather,ánh vàng xiên,phố đi bộ,tracking nhanh,nắng dịu,lãng mạn
scn_244,casual,ánh vàng xiên,phố đi bộ,crane xuống,sương nhẹ,năng động
scn_245,sandals,ánh vàng xiên,phố đi bộ,crane xuống,sương nhẹ,mạnh mẽ
scn_246,sneaker,ánh vàng xiên,phố đi bộ,crane xuống,sương nhẹ,lãng mạn
scn_247,runner,ánh vàng xiên,phố đi bộ,crane xuống,gió nhẹ,năng động
scn_248,leather,ánh vàng xiên,phố đi bộ,crane xuống,gió nhẹ,mạnh mẽ
scn_249,casual,ánh vàng xiên,phố đi bộ,crane xuống,gió nhẹ,lãng mạn
scn_250,sandals,ánh vàng xiên,phố đi bộ,crane xuống,nắng dịu,năng động
scn_251,sneaker,ánh vàng xiên,phố đi bộ,crane xuống,nắng dịu,mạnh mẽ
scn_252,runner,ánh vàng xiên,phố đi bộ,crane xuống,nắng dịu,lãng mạn
scn_253,leather,ánh vàng xiên,phố đi bộ,pan ngang,sương nhẹ,năng động
scn_254,casual,ánh vàng xiên,phố đi bộ,pan ngang,sương nhẹ,mạnh mẽ
scn_255,sandals,ánh vàng xiên,phố đi bộ,pan ngang,sương nhẹ,lãng mạn
scn_256,sneaker,ánh vàng xiên,phố đi bộ,pan ngang,gió nhẹ,năng động
scn_257,runner,ánh vàng xiên,phố đi bộ,pan ngang,gió nhẹ,mạnh mẽ
scn_258,leather,ánh vàng xiên,phố đi bộ,pan ngang,gió nhẹ,lãng mạn
scn_259,casual,ánh vàng xiên,phố đi bộ,pan ngang,nắng dịu,năng động
scn_260,sandals,ánh vàng xiên,phố đi bộ,pan ngang,nắng dịu,mạnh mẽ
scn_261,sneaker,ánh vàng xiên,phố đi bộ,pan ngang,nắng dịu,lãng mạn
scn_262,runner,ánh vàng xiên,phố đi bộ,wide dolly,sương nhẹ,năng động
scn_263,leather,ánh vàng xiên,phố đi bộ,wide dolly,sương nhẹ,mạnh mẽ
scn_264,casual,ánh vàng xiên,phố đi bộ,wide dolly,sương nhẹ,lãng mạn
scn_265,sandals,ánh vàng xiên,phố đi bộ,wide dolly,gió nhẹ,năng động
scn_266,sneaker,ánh vàng xiên,phố đi bộ,wide dolly,gió nhẹ,mạnh mẽ
scn_267,runner,ánh vàng xiên,phố đi bộ,wide dolly,gió nhẹ,lãng mạn
scn_268,leather,ánh vàng xiên,phố đi bộ,wide dolly,nắng dịu,năng động
scn_269,casual,ánh vàng xiên,phố đi bộ,wide dolly,nắng dịu,mạnh mẽ
scn_270,sandals,ánh vàng xiên,phố đi bộ,wide dolly,nắng dịu,lãng mạn
scn_271,sneaker,ánh vàng xiên,ban công căn hộ,orbit chậm,sương nhẹ,năng động
scn_272,runner,ánh vàng xiên,ban công căn hộ,orbit chậm,sương nhẹ,mạnh mẽ
scn_273,leather,ánh vàng xiên,ban công căn hộ,orbit chậm,sương nhẹ,lãng mạn
scn_274,casual,ánh vàng xiên,ban công căn hộ,orbit chậm,gió nhẹ,năng động
scn_275,sandals,ánh vàng xiên,ban công căn hộ,orbit chậm,gió nhẹ,mạnh mẽ
scn_276,sneaker,ánh vàng xiên,ban công căn hộ,orbit chậm,gió nhẹ,lãng mạn
scn_277,runner,ánh vàng xiên,ban công căn hộ,orbit chậm,nắng dịu,năng động
scn_278,leather,ánh vàng xiên,ban công căn hộ,orbit chậm,nắng dịu,mạnh mẽ
scn_279,casual,ánh vàng xiên,ban công căn hộ,orbit chậm,nắng dịu,lãng mạn
scn_280,sandals,ánh vàng xiên,ban công căn hộ,tracking nhanh,sương nhẹ,năng động
scn_281,sneaker,ánh vàng xiên,ban công căn hộ,tracking nhanh,sương nhẹ,mạnh mẽ
scn_282,runner,ánh vàng xiên,ban công căn hộ,tracking nhanh,sương nhẹ,lãng mạn
scn_283,leather,ánh vàng xiên,ban công căn hộ,tracking nhanh,gió nhẹ,năng động
scn_284,casual,ánh vàng xiên,ban công căn hộ,tracking nhanh,gió nhẹ,mạnh mẽ
scn_285,sandals,ánh vàng xiên,ban công căn hộ,tracking nhanh,gió nhẹ,lãng mạn
scn_286,sneaker,ánh vàng xiên,ban công căn hộ,tracking nhanh,nắng dịu,năng động
scn_287,runner,ánh vàng xiên,ban công căn hộ,tracking nhanh,nắng dịu,mạnh mẽ
scn_288,leather,ánh vàng xiên,ban công căn hộ,tracking nhanh,nắng dịu,lãng mạn
scn_289,casual,ánh vàng xiên,ban công căn hộ,crane xuống,sương nhẹ,năng động
scn_290,sandals,ánh vàng xiên,ban công căn hộ,crane xuống,sương nhẹ,mạnh mẽ
scn_291,sneaker,ánh vàng xiên,ban công căn hộ,crane xuống,sương nhẹ,lãng mạn
scn_292,runner,ánh vàng xiên,ban công căn hộ,crane xuống,gió nhẹ,năng động
